id,division,asset_type,length_km,age_years,installation_year,curve_gradient_class,monsoon_exposure,freight_density_class,corridor
SEG-001,Delhi,Track,53.2,33.1,1992,Med-Moderate,Low,Low,Delhi-Mumbai Rajdhani Corridor
SEG-002,Delhi,Traction/OHE,52.55,7.8,2018,Low-Flat,High,Medium,Delhi-Mumbai Rajdhani Corridor
SEG-003,Delhi,Track,56.66,7.4,2018,Low-Flat,High,Low,Delhi-Mumbai Rajdhani Corridor
SEG-004,Delhi,S&T,54.03,36.0,1990,Low-Moderate,Medium,High,Delhi-Mumbai Rajdhani Corridor
SEG-005,Delhi,Track,53.29,43.9,1982,High-Steep,Medium,Medium,Delhi-Mumbai Rajdhani Corridor
SEG-006,Jaipur,S&T,52.94,48.0,1978,Low-Flat,Low,Medium,Delhi-Mumbai Rajdhani Corridor
SEG-007,Jaipur,Traction/OHE,55.12,42.8,1983,Med-Moderate,Low,High,Delhi-Mumbai Rajdhani Corridor
SEG-008,Jaipur,S&T,57.34,8.9,2017,Low-Flat,High,Medium,Delhi-Mumbai Rajdhani Corridor
SEG-009,Jaipur,S&T,52.63,32.1,1993,Low-Moderate,High,Low,Delhi-Mumbai Rajdhani Corridor
SEG-010,Kota,S&T,54.64,13.7,2012,Low-Flat,Low,Low,Delhi-Mumbai Rajdhani Corridor
SEG-011,Kota,S&T,53.62,24.3,2001,Low-Moderate,Medium,Medium,Delhi-Mumbai Rajdhani Corridor
SEG-012,Kota,Traction/OHE,53.39,15.5,2010,Low-Flat,High,High,Delhi-Mumbai Rajdhani Corridor
SEG-013,Kota,Track,58.3,37.3,1988,High-Steep,Medium,Medium,Delhi-Mumbai Rajdhani Corridor
SEG-014,Ratlam,Traction/OHE,57.42,33.1,1992,Low-Moderate,High,Medium,Delhi-Mumbai Rajdhani Corridor
SEG-015,Ratlam,Track,53.97,39.5,1986,Low-Flat,Medium,Medium,Delhi-Mumbai Rajdhani Corridor
SEG-016,Ratlam,Traction/OHE,55.36,12.9,2013,Med-Moderate,Low,High,Delhi-Mumbai Rajdhani Corridor
SEG-017,Ratlam,Traction/OHE,53.2,44.6,1981,High-Steep,Low,Medium,Delhi-Mumbai Rajdhani Corridor
SEG-018,Vadodara,Traction/OHE,54.93,38.0,1987,Med-Moderate,High,High,Delhi-Mumbai Rajdhani Corridor
SEG-019,Vadodara,S&T,55.32,30.4,1995,Low-Moderate,Low,High,Delhi-Mumbai Rajdhani Corridor
SEG-020,Vadodara,Track,57.11,38.5,1987,Low-Moderate,High,Low,Delhi-Mumbai Rajdhani Corridor
SEG-021,Vadodara,Track,58.34,22.8,2003,High-Steep,Medium,High,Delhi-Mumbai Rajdhani Corridor
SEG-022,Mumbai,Traction/OHE,53.05,27.9,1998,Low-Flat,High,High,Delhi-Mumbai Rajdhani Corridor
SEG-023,Mumbai,S&T,54.97,44.6,1981,Med-Moderate,Low,Medium,Delhi-Mumbai Rajdhani Corridor
SEG-024,Mumbai,Traction/OHE,55.41,24.3,2001,Med-Moderate,High,Low,Delhi-Mumbai Rajdhani Corridor
